clean_content,kategori,emosi
aplikasi pinjaman yang sama sekali tidak membantu proses pencairannya lama banget eh ujung ujungnya di tolakmulai saat ini saya uninstall aplikasi kredit pintar dan tolong hapus seluruh data saya jika data saya di buat untuk yang tidak² saya akan laporkan kepada pihak yang berwajib,Keamanan/Privasi,Takut
pertanggal saya atas nama wahyu sudah hapus akun uninstall aplikasi karena pengajuan saya ditolak jadi saya hapus akun jadi dimohon kepada pihak akulaku pinjaman online data yg pernah saya ajukan jgn disalah gunakan bila perlu hapus segera di sistem kalian jika tiba tiba data saya ada disalah gunakan kalian harus bertanggung jawab dan saya tidak mau bertanggung jawab yaa terimakasih,Keamanan/Privasi,Marah
bahaya aplikasi ini telat beberapa hari sudah ancem2 dan sebar data di facebook dan ig,Keamanan/Privasi,Takut
saya pengajuan limit selalu ga lolos padahal data sudah valid apk macam apa ini nyesel udah download,Keamanan/Privasi,Marah
aplikasi cukup aneh saya melakukan pinjaman pertama langsung ditolak dan masa tunggu nya lama sekali mohon untuk data saya dihapus kembali dikarenakan saya mencoba menghapus tidak bisa dan kalau anda mencoba mensalah gunakan akan saya laporkan,Keamanan/Privasi,Takut
saya lunasin pinjaman secepatnya sebelum tenor dan mau mengajukan pinjaman kembali kok malah di tolak padahal saya udh gercep buat lunasin loh langsung sehari kecewa banget rating satu untuk sementara klo kaya gini edit saya bulan kemarin pinjaman 800 lunasin jauhhh sebelum jatuh tempo loh terus habis lunas ngajukan ditolak maksudnya gimana trus bln sekarang ngajukan lagi sama aja ditolak penipuan apa gimana ini balikin aja data gua ,Keamanan/Privasi,Takut
aplikasi zonkk hari ini sabtu desember saya uninstall apk ini tolong jangan disalah gunakan dataÂ² saya,Keamanan/Privasi,Kecewa
cuman mau nanya aja saya tunggakan ga puny bayar pun ga pernah telat sewaktu masih bisa pinjam sekarng palylater maupun pinjaman ga bisa apa maksd nya,Keamanan/Privasi,Kecewa
semoga bisa lg mengajukan pinjaman,Keamanan/Privasi,Senang
hati hati ini aplikasi berbahaya kalo mau download pikir² dulu pernah pengajuan sekali dan ditolaktapi setelah itu saya mau hapus akun selalu tidak bisa ini aplikasi berbahaya terindikasi pencurian data diri waspada,Keamanan/Privasi,Takut
bayar sebelum tgl jatu tempo setelah di bayar gak bisa ajukan lagi pinjaman di shope paling enak ini jatu tempo tgl da sibuk di tlpn tgl sungguh meresahkan setelah bayar sebelum tgl jatu tempo malah gak bisa pinjam lagi ini gk usah di pakai deh aqulaku yg lebih herannya lagi saya ada limit dp later tpi gak bisa pakai kan aneh,Keamanan/Privasi,Marah
ok sudah semoga app nya amanah,Keamanan/Privasi,Senang
baru telat sehari aja bunganya udh bertambah,Keamanan/Privasi,Kecewa
paylater dan pinjaman tidak bisa dipakai pdhl angsuran selalu lancar,Keamanan/Privasi,Kecewa
apk gilaa telat 1 hari aja udah di teror di ancam2 jangan ada yg mao kalo minjem di sini,Keamanan/Privasi,Takut
aplikasi tipu tipu cuma mau data doang per tgl ini saya uninstall ga ada saya pinjem atau apapun awas aja data nya di salah gunakan,Keamanan/Privasi,Marah
terimakasih akulaku dan pi jaman ya semoga sukses selalu,Keamanan/Privasi,Senang
pinjaman pertama d acc sudah saya lunasin mau pinjam berikutnya tidak d acc knapa ya,Keamanan/Privasi,Kecewa
telat hari gara gara sistem eror terus hari ketiga baru berhasil dan anehnya aku hari ke didatengin colektor dengan surat tugas penarikan tagihan datang dengan mengintimidasi saya dan jumlah hutang saya di umumkan ke warga tempat tinggal saya oleh pihak colektor padahal tagian sudah saya lunasi sebelum kolektor datang dan itupun telat gara gara sistemnya saya tidak terima dengan tindakan ini yg telah melukai harga diri saya dan saya merasa dirugikan oleh intimidasi yg dilakukan,Keamanan/Privasi,Marah
aplikasi payah sudah di tolak tapi mau hapus akun gk bisa apa maksud nya org butuh keamanan data malah gak bisa hapus akun parah nih aplikasi,Keamanan/Privasi,Takut
telat satu hari udah diancam bahkan dengan kata kasar sebar data sekarang sudah di lunasi utang malah ga bisa hapus akun tolong hapus akun saya,Keamanan/Privasi,Takut
bunga nya lumayan kcil lah dibanding pinjol lain,Keamanan/Privasi,Senang
tidak bisa melakukan pinjaman,Keamanan/Privasi,Kecewa
saya baru kali ini mau coba pinjaman di akulaku kaya nya bagus,Keamanan/Privasi,Senang
aplikasi parah banget telat ga ada 2 hari udah nyebar data nyebarnya fitnah lagi pake di post² muka di tuduh penggelapan danangambil motor aplikasi legal rasa ilegal mending pikir² lagi dah kalo install ni aplikasi,Keamanan/Privasi,Takut
aplikasi ga jelas masa cmn bisa pinjam kali doang giliran mau minjam yg ke kali nya engga bisa limit tidak cukup lah padahal bayar sebelum jatuh tempo dari jauhÂ² hari di bayar akulaku penipu ga usah di download nyesel marah,Keamanan/Privasi,Marah
punya limit paylater punya lumut pinjaman tapi gk bisa d guna kan solusi nya gimana,Keamanan/Privasi,Kecewa
saya pertama kali nya ngajujan pinjaman di aku laku dapat limit playleter pinjaman uang nya baru satu kali pinjam idah lunas bayar padahal ga telat tapi mau ajuin lg di tolsk limit nya ja gabisa dipake knp ya aku laku kecewa,Keamanan/Privasi,Kecewa
atas nama muhammad zainuri sudah tidak ada tunggakan tagihan dan sudah lunas tolong pastikan data saya bersih dan aman,Keamanan/Privasi,Senang
aplikasinya seram belum jam bayar cicilannya di tlp dengan nada keras dan d tlp berkali dengan ancaman akan dlaporkan ojk padahal sebelumnya saya tidak pernah nunggak bahkan sekarang saya kecewa berat sampai paylater tidak bisa d pakai gara terlambat djamnya blum padahal lewat harinya,Keamanan/Privasi,Kecewa
saya kasih bintang saya ngajuin pinjaman tapi tidak lolos saya mohon dengan sangat data data saya dihapus juga terimakasih kecewa,Keamanan/Privasi,Kecewa
cepat aman,Keamanan/Privasi,Senang
untuk saat ini apk masih oke saya sangat puas cuman saya belum bisa melakukan pinjaman saja,Keamanan/Privasi,Senang
akulaku sangat parah pinjaman sebelum jatuh tempo udah lunas tapi mau pinjam lagi gak bisa lunasin tagihan anda tagihan yang mana pinjem az blum pernah,Keamanan/Privasi,Marah
saya tidak mendapatkan pinjaman cicilan hanya mendapat x bayar dalam sebulan kecewa,Keamanan/Privasi,Kecewa
aplikasi gak guna percuma ada limit payleter dan limit pinjaman klo gabisa di pake,Keamanan/Privasi,Marah
saya sudah melunasi pinjaman saya tp kenapa mau pinjam lagi di tolak,Keamanan/Privasi,Kecewa
aplikasi jelek burik pelunasan cepat malah ga bisa pinjemmm lagi jangn instal akulaku mending kredivoo pinjaman cepat bisa pinjem lagi akulaku bentar lagi bangkruuttt,Keamanan/Privasi,Kecewa
pengajuan di tolak ga bisa apus akun hati hati ini penipuhan dan ingin mengambil data saudara sekalian ga jelas kp,Keamanan/Privasi,Takut
aplikasi jelek baru pertama mengajukan pinjaman langsung di tolak padahal data sudah bener semua tapi di tolak dengan alasan yang tidak masuk akal,Keamanan/Privasi,Takut
awal pake emang enak banget pencairan mudah dan limit naik terus setelah x pakai limit nya malah turun dan gak bisa di gunain padahal aku gapernah telat setiap pembayaran paylater pun gak bisa di gunakan juga costomer servis nya kaya bot komputer cuma jawab secara sistem kecewa,Keamanan/Privasi,Kecewa
sangat mengecewakan padahal cma telah hari saja dan itu pun pas jatuh tempo pada hari minggu pas hari libur kerja dan hari senin ny uang gaji saya masuk rekening dan langsung membayar pinjaman saya pas mau minjam lagi mlah gak bsa padahal baru pertama kali saya telat di pinjaman yang sekarang dan yang sebenarnya saya selalu lancar dan tepat waktu bahkan selalu melakukan pelunasan cepat kecewa banget asli,Keamanan/Privasi,Kecewa
kok lucu ya mau hapus data pribadi ndak bisa nanti klw ada uang masuk jangan salahkan ya karna saya sudah hapus ini apk nya dan ada bukti2 ya bisa kuatkan dan klw ada penagihan saya tidak respon karna sya tidak meminjam yah,Keamanan/Privasi,Takut
sangat terganggu sekali dengan telpon menawarkan pinjaman saya tidak punya akun disini tapi mereka bisa menelpon anda harus hati hati,Keamanan/Privasi,Takut
saya membayar cicilan sebelum jatuh tempo tetapi saya ingin mengajukan pinjaman ulang kok di tolak kenapa ya,Keamanan/Privasi,Kecewa
aplikasi banyak penipuannya gajelas,Keamanan/Privasi,Kecewa
beli barang di akulaku tidak mengecewakan barang dtng dahulu bln mendatang baru di byr,Keamanan/Privasi,Senang
sangat membatu di saat saya lagi butuh dana cepat barang tidak bertelele dalam memberikan layanan ke saya transfransi dan terjamin amanah,Keamanan/Privasi,Senang
pengajuan pinjaman selalu d tolak udah d ulang tiap jam sekali selama hampir minggu tolong hapus data atas nama sri sunarsih terima kasih,Keamanan/Privasi,Marah
pengajuan saya di tolak pas mau hapus data  mengapa tidak bisa jika ada pinjaman mengatas namakan data saya saya akan melapor ke pihak berwajib,Keamanan/Privasi,Takut
aplikasi penipuan jangan mau udah susah payah cari nasabah malah nipu gua saranin ga usah download ini aplikasi,Keamanan/Privasi,Marah
saya pikir bkln di acc ko skrg susah sih di acc nya ga kaya dulu saya kecewapda tgl 13 juni 2025 jika ada sesuatu mengenai data sayasaya tidak mau tau soalnya saya tidak di acc terimakasih atas nama ahmad bustomi,Keamanan/Privasi,Takut
susah di kasih pinjaman,Keamanan/Privasi,Kecewa
app dah gak guna lagi pinjaman paylater gak bisa digunakan,Keamanan/Privasi,Kecewa
banyak merchant tidak amanah penipuan,Keamanan/Privasi,Marah
payah blm waktunya bayar sudah di telpon terus beli hp yg datang hp refurbis kw sisa limit paylater gk bisa di pake aneh,Keamanan/Privasi,Marah
saya kasih nilai karena tokonya amanah kurang bintang karena paylater dan limit cicilannya gk bisa d pakai,Keamanan/Privasi,Kecewa
baik mudah cepat cair,Keamanan/Privasi,Senang
saya kasih bintang aja karena percuma saya memiliki limit injaman uang sama limit paylater tapi gabisa di gunakan sama sekali dengan alasan kredit saya tidak memenuhi ketentuan,Keamanan/Privasi,Kecewa
aplikasi setan baru telat 1 hari kalian sudah menteror saya  padahal besoknya sudah saya lunasi heh pinjol setan ingat ya saya mau laporkan kalian karna sudah menyebarkan data2 saya ke publik sosmed  saya bisa saja bawa kalian ke ranah hukum dengan uu pencemaran nama baik atas perlakuan debt collector kalian yg telah memfitnah saya di sosmed,Keamanan/Privasi,Takut
saya order barang elektronik hp saat menunggu kiriman paket saya dapat wa nomor tidak di kenal mengatas namakan akulaku kurang lebih isi chat nya suruh minta di klik link utk jadual kirim ulang paket karena bermasalah saya gak yakin saya hubungi cs respon nya jangan melakukan klik link apapun kirm kode otpt dll yang jadi pertanyaan kenapa orang lain bisa tahu pesanan saya berarti data konsumen bocor gitu,Keamanan/Privasi,Takut
terbaik sangat membantu produk juga banyak diskon voucher juga banyak produk terjamin sampai tujuan ada fitur pinjaman juga segera deh download terimakasih,Keamanan/Privasi,Senang
yth bapak ibu saya ingin menghapus data pribadi saya diakun ini tolong bantuan nya untuk menghapus data saya karena pengajuan saya ditolak jdi saya mau hapus data pribadi saya aja tolong bantuan nya terima kasih ,Keamanan/Privasi,Takut
banyak penipu yang mengatas nama kan akulaku dengan mengiming imingi dana chas back yang langsung cair di no rekening tapi kenyataannya menguras isi saldo kalian tolong untuk pihak akulaku di tindak lanjut semua ini,Keamanan/Privasi,Marah
rekomendasi untuk yg butuh dana cepat tanpa ribet y apk ini g sampe menit ngajuin pinjaman langsung di setujuin saldo pinjaman langsung masuk rek kita tanpe bertele terima kasih akulaku,Keamanan/Privasi,Senang
klo bisa mah kasih bintang spotong gua gak ada tunggakan malah pylater pinjaman di tolak sama gak bisa di gunakaan,Keamanan/Privasi,Marah
kenapa aku ga bisa mengajukan pinjaman lg padahal limit aku masih banyak,Keamanan/Privasi,Kecewa
semoga limit pinjaman sy dpt di kembalikan,Keamanan/Privasi,Kecewa
sangat membantu bisa ambil barang dengan metode cicilan hingga bln limit paylater nya jg cukup besar bisa kredit offline jg ada pinjaman online nya jg sangat membantu,Keamanan/Privasi,Senang
sangat memuaskan pinjaman cepat di proses,Keamanan/Privasi,Senang
tolong tambah tenor pinjaman saya,Keamanan/Privasi,Kecewa
tolong hpus akun saya karena saya tidak lolos pinjaman,Keamanan/Privasi,Kecewa
cuma pinjaman 600 aj gk di acc saya pinjam di apk lain aj 890rb saya bayar lunas dalam wktu 6 haritolong hapus data saya muhammad abdul khalik jika terjadi hal yg tidak diinginkan dengan data sayamaka saya tidak bertanggung jawab,Keamanan/Privasi,Takut
kenapa tidak bisa di hapus akunkok aneh apk tehbuat apa ngumpulin data orangini kerja sistemhapus lah akun orang,Keamanan/Privasi,Takut
palylatter gk bisa dipake pinjaman gk bisa lalu buat dikasih fitur kya gtu klo gk bisa dimanfaatin,Keamanan/Privasi,Marah
akulaku parah parah pinjaman dana cicil di lunasin lebih awal atau lebih cepat malah tidak bisa meminjam lagi bilangnya kredit anda rendah padahal di lunasin lebih awal dari tanggal jatuh tempo sungguh mengecewakan sekali,Keamanan/Privasi,Kecewa
data sudah masuk tp pencairan di tolak 16 juli 2025 saya uninstal apk kp  tolong jaga data2 saya,Keamanan/Privasi,Takut
sebenarnya boleh minjam apa kagak sih nih apk pdhl pinjaman udah lunas ga telat samsek malah gabisa ajukan pinjaman lagi gimana sih gajelass,Keamanan/Privasi,Marah
saya atas nama akun sesuai nomer dan selalu bayar ga pernah telat selalu tidak lolos pinjaman sy tidak akan lg meminjam apapun sudah sering bayar dtolak kredit buruk sy dmna ga ada,Keamanan/Privasi,Kecewa
jangan coba² pinjam kalau anda tidak mw di teror kredit yg banyak teror,Keamanan/Privasi,Takut
klo bisa bintang mi 5 tak kasih min 5  aplikasi preman sebar data pribadi pelindung data pribadi apanya yg ada di sebar luaskan,Keamanan/Privasi,Takut
beli paket data ga pake ribet,Keamanan/Privasi,Senang
dc ny parah nagih dgn brutalnya padhl cm tlat sehari jgn pkai aplkasi buat mental yg lmah krna teror dc sudah di luar normal baik bhsa maupun tindkn pngncamanklo nagih jgn di luar batas ya,Keamanan/Privasi,Takut
walaupun pinjaman ga prnh di acc aku ttp ksh bintang,Keamanan/Privasi,Senang
ada yg nelpon ngancam ngancam disuruh pinjam cuma mau coba paylater nya doang pinjaman kan optional ogah ahh transaksi disini,Keamanan/Privasi,Takut
tolong acc pengajuan limit pinjaman saya,Keamanan/Privasi,Kecewa
aplikasi aneh stu kali dua kali bisa di gunakan pinjamannya dan kesininya tidak bisa lagi padahal saya bayar tidak pernah terlewat,Keamanan/Privasi,Kecewa
trima kasih mudahan dlm minggu kdepan payleternya bisa digunakan lagi,Keamanan/Privasi,Senang
saya pikir pikir mending gak usah ngajuin limit yang terlalu sedikit jadi saya uninstal tolong jangan salah gunakan data saya,Keamanan/Privasi,Takut
nyesel lagi gunakan aplikasi ini malah saya yang kena ketipu gara gara barang ada kendala tapi barang udah keterima aja terusan di suruh ambil cash back lah terus di transfer gitu hadehh gak lagi lah pakai ini apk banyak banget penipuan sama bot nya juga,Keamanan/Privasi,Marah
awas penipuan apk parah ni jgn dpakai ga sesuai limit sudah ada tpi ga bisa dpakai apk penipuh,Keamanan/Privasi,Marah
saya sudah melunasi angsuran 2 bulan tapi kenapa masi ada yaaa 2 bulan kedepannya lagi dana yg saya terima pun hanya 1 kali peminjaman tolong yaaa diperbaiki data saya,Keamanan/Privasi,Takut
tagihan pinjaman udah lunas tdk pernah jatuh tempo waktu bayar cicilan skrg knapa pengajuan gagal terus dimana salahnya dulu selalu lancar kalo sudah pelunasan,Keamanan/Privasi,Kecewa
telat 2hari udah ada ancaman2 yang parah dan anceman sebar data bikin orang mles pinjem lgi aja jgn pernh pinjem d sini bagi klian yg gk ke pepet bnget blm jatuh tempo aja udah d tlponin,Keamanan/Privasi,Takut
mohon maaf pinjaman selalu ditolak tolong hapus semua data saya dan hari ini waktu ini saya uninstall apk nya,Keamanan/Privasi,Takut
jangan mau deh pinjem di aplikasi initelat baru 2 hari udah di teror di kata2 in tidak pantas bahasa binatang segalamending kalau mau pinjem ke aplikasi lain ajah jangan kesiniudah gak bisa hapus akunpokoknya kalau ada apa2 data saya di sebar tanpa izin saya akan melaporkan kepihak yang berwajibbuat kalian yang mau pinjam dana mending di akulaku atau aplikasi lain ajahbunga nya juga masih bisa masuk akal tanpa ada potongan apapun saat pencairan,Keamanan/Privasi,Takut
cocok buat belanja dan pinjaman namun agak sayang ketika pinjaman dilunasi dengan cepat sebelum tanggal pembayaran kredit nya malah turun gak tau gmn caranya sistem akulaku kok consumen bayar bagus tp kredit turun,Keamanan/Privasi,Kecewa
udah pengjuan lamacs d chat malah di tolakapk ga jlsapus data saya,Keamanan/Privasi,Takut
alhamdulillah aman aman aman,Keamanan/Privasi,Senang
kenapa saya sekarang gak bisa ambil pinjaman lagi yah pdhl setiap kli saya ngambil pinjaman byr x gak pernah telat,Keamanan/Privasi,Kecewa
peminjaman ke xnya ko gagal terus yah jangan bikin kecewa dong padahal bayar ngga pernah telat kan aneh,Keamanan/Privasi,Kecewa
cara melaporkan pihak penagihan yang tidak beretika kemana langsung ojk kahapakah dengan mengancam menyebar data itu sop penagihan kredit pintar,Keamanan/Privasi,Takut
buruk masa payllater pinjaman kok di bekuin padahal awalnya bisa tapi sudah bayar lunas gak pernah telat juga kok gak bisa di pake lagi apa salahnya ya,Keamanan/Privasi,Marah
setiap membeli pesan di akulaku selalu saja banyak yg menelpon mengatasnamakan cs akulaku apakah data tidak aman di akulaku,Keamanan/Privasi,Takut
pinjaman terakhir jt bayar tanpa telat tapi kol limit nya mentok ke jt bahkan sekarang malah turun ke jt,Keamanan/Privasi,Kecewa
tidak dapat pencairan alias di tolak mulai tgl 18 juli 2025 saya tidak bertanggung jawab jika terjadi penyalahgunaan data saya tolong hapus data saya karena di aplikasi tidak bisa hapus data terimakasih,Keamanan/Privasi,Takut
hati2 data di sebar,Keamanan/Privasi,Takut
tolong cicilan sudah lunas tapi gak bisa mengajukan pinjaman,Keamanan/Privasi,Kecewa
ngak tau kenapa pengajuan saya slalu di tolak padahl saya tidak punya pinjaman apapun mohon bantuanya,Keamanan/Privasi,Takut
jangan pinjam nanti di teror,Keamanan/Privasi,Takut
pinjaman lunas tapi mo ngajuin lagi gak bisa paylater juga kenapa gak pernah telat lho,Keamanan/Privasi,Kecewa
jgn disalah gunakan data²ku ku ajuin pinjaman malah ditolak kuhapus data²ku pun malah ditolak jga awas sja ya kalo disalah gunakan sya sda screenshot tdk ada pinjaman awas saja nnti kalo ada yg menagih atau telpon² dinomorq,Keamanan/Privasi,Takut
tidak pernah telat bayar cicilan limit dari jt sampai turun ke doang mau di ajukan aja susahnya minta ampun diminta proses penghapusan data selalu ditolak ga membantu samsek,Keamanan/Privasi,Kecewa
aplikasi php pemberi harapan palsu doang awalnya doang menjanjikan kasih pinjaman rb giliran udah dibayar malah gak dikasih pinjam lagi kasih limit paylater rb tapi cuma bisa digunakan kurang dari rb aplikasi penipu langsung uninstall aja lah pertahankan aplikasi yang masih jujur dan komitmen,Keamanan/Privasi,Kecewa
lancar sekali cepat dan aman tapi sayangnya gak bisa dapet limit yang lebih tinggi,Keamanan/Privasi,Kecewa
kenapa tidak bisa diajukan peminjaman tidak terverifikasi agar tidak disalahgunakan data jika disalahgunakan kami akan lanjut ke pihak berwajib,Keamanan/Privasi,Takut
kenpa status saya masih belum berubah ya min sudah lebih dari x jam bahkan sudah hari pinjaman saya telah saya lunasi ini bagaimana,Keamanan/Privasi,Kecewa
hari ini tanggal 4 juni 2025 saya tidak jadi pinjam karena di tolak jika data2 saya di salah gunakan oleh admin kredit pintar saya akan cari sampe ke ujung bumi saya tidak mengancam tapi saya kasih peringatan jika data saya mereka gunakan untuk yg tidak2 7 turunan keluarga nya saya punah kan siapapun mereka yg bekerja di kredit pintar,Keamanan/Privasi,Takut
per tanggal 25 feb 2025 saya uinstalll apk kredit pintar ini setelah diuinstall ada panggilan dari nomor asing mohon hapus data saya karena saya sudah tidak memerlukan apk ini,Keamanan/Privasi,Takut
perbesar pinjaman bagi yg bayarnya tepat waktu,Keamanan/Privasi,Senang
kasih saya pinjaman lagi soalnya sudah membayar,Keamanan/Privasi,Kecewa
ngajuin pinjaman gabisa pdhal udah ga punya tunggakan auto uninstall,Keamanan/Privasi,Kecewa
pinjol aplikasi penipu pembayaran suda lunas tapi masi tida di lunasin hati teman jangan pinjam di aplikasi ini ketika pinjaman ada suda pembayaran terahir di tida mau lunasin malahan kasi nunggak anday kata sya bisa kasi tida ada bintang penilayyan saya tida kasi dan sya suda laporkan ke atminya tapi atminnya tida tindaki pembayaran dasar penipu,Keamanan/Privasi,Marah
saya bingung kenapa limit pinjaman saya yang ke ini malah turun padahal belum pernah nunggak pembayarannya mohon maaf untuk bintang saya kurangi sampai skor saya naik lagi terimakasih kecewa,Keamanan/Privasi,Kecewa
proses terlalu lamatolong hapus data saya mulai hari ini 2562025 saya uninstall,Keamanan/Privasi,Takut
saya kasi bintang saja stelah saya bayar tepat waktu malah tidak bisa meminjam lagi malah ada notif pembayaran kredit saya tidak baik pdhl saya bayar tepat waktu tolong jgn di salah gunakan data saya,Keamanan/Privasi,Kecewa
bayar sellu tepat waktu tp pas pengajuan lg sllu gagal dn tdk memenuhi syarat sangat mengecewakan jd pada hari ini minggu pukul tggl saya sdh menghapus akun saya scara permanen jika sewaktu waktu ad tagihan mengatas namakan saya itu bukan saya dn saya tdk akn brtanggung jawab kiranya itu saja yg dpt sy smpaikan dari ahmad subali skian dn trimakasih,Keamanan/Privasi,Kecewa
hapus data saya karna saya udah ga ada s angkutan ngajuin lagi di tolak per tgl ini detik ini saya hapus aplikasinya,Keamanan/Privasi,Takut
saya tidak pernah ajukan pinjam tapi data saya di pakai di tlpn trs mohon hapus sata saya,Keamanan/Privasi,Takut
semoga pinjaman dana nya di buka,Keamanan/Privasi,Takut
pinjaman tdk di accdan sy tdk punya pinjaman diaplikasi ini dan apa bila ada pinjaman atas nama sy di aplikasi ini sy bisa melaporkan anda dipihak berwajah atas penyalahgunaan datajadi tolong hapus data sy terima kasih,Keamanan/Privasi,Takut
cicilan udah kelar tapi ga bisa ngajuin pinjaman lagi app burik,Keamanan/Privasi,Marah
proses pengajuan pinjaman sangat sulit di apk ini dan di tolak terus,Keamanan/Privasi,Kecewa
ingat kalian jangan permainkan data orang dengan persulit hapus akun kalian itu manusia sama dgn kita akan alami namanya kematian dan kesulitan orang akan kalian tangguang hingga akhirat ingat itu ,Keamanan/Privasi,Takut
kenapa tiba susah di gunakan padahal kemaren aman aja di pake,Keamanan/Privasi,Marah
payah angsuran ga ada yg x semak kesini semak ga jelas al padahal penguna lama dn selalu bayar setiap ada tagihan limit kecil dn lama angsuran ga jelas ga sesuai sma penawaran nya semvak,Keamanan/Privasi,Marah
jangan pernah pinjam di aplikasi ini pasti anda sangat menyesal telat sehari saja sudah dibikin malu disebarin ke semua kontak dengan kata kasar dan sangat memalukan oke lah karena telat tapi mesti sudah dibayar pagi nya siang nya masih chat2 orang dengan memalukan kita tolong lah untuk tim kredit pintar diperhatikan lagi sudah dibayar tapi masih chat orang2 di kontak tolong lah diperbaiki tim nya,Keamanan/Privasi,Takut
